name,type,address,latitude,longitude,freguesia,opening_hours
Millennium bcp,bank,nan nan,41.1665193,-8.6495489,Ramalde,Mo-Fr 08:30-15:30
Banco de Portugal - Filial Porto,bank,Praça da Liberdade,41.14675058073048,-8.611982956675224,,Mo-Fr 08:30-15:00
Abanca,bank,nan Rua de Damião de Góis,41.16175,-8.6126181,Porto,Mo-Fr 08:30-15:00
BPI,bank,nan Avenida do Doutor Antunes Guimarães,41.172495,-8.6551957,Ramalde,
Invest,bank,,41.1565942,-8.6284096,,
Barclays,bank,nan nan,41.1624527,-8.598209,Porto,
ABANCA,bank,,41.1611913,-8.6580219,,
Banco CTT,bank,nan nan,41.1724687,-8.6549746,Ramalde,
Armazém da Cerveja,bar,130 Rua Formosa,41.1476318,-8.6036705,Porto,Mo-Su 16:00-00:00
Fábrica Nortada,bar,210 Rua de Sá da Bandeira,41.1478991,-8.6082227,Porto,Tu-Sa 12:00-00:00; Su 16:00-00:00
Lusco Fusco,bar,Rua Doutor Manuel Pereira da Silva,41.1735459,-8.6030403,,10:00-02:00
Marina do Freixo,bar,nan nan,41.1432861,-8.5774498,Porto,
A Fábrica da Picaria,bar,72 Rua da Picaria,41.1495339,-8.6129025,Porto,Mo-Sa 11:15-00:00
Champanheria da Baixa,bar,nan nan,41.1498125,-8.6130563,Porto,
Casa de Ló,bar,nan Travessa de Cedofeita,41.14957885278263,-8.616086012857414,Porto,
Plano B,bar,,41.1465503,-8.6139045,,
Cervejaria Flor da Estação,bar,13 Travessa de Miraflor,41.148789,-8.5868343,Porto,
