name,highway,maxspeed,latitude,longitude,length,bridge,service,tunnel
Praça do Império,secondary,,41.155371326029545,-8.672184941209164,20.425,,,
,service,,41.15542705,-8.673349250000001,34.302,,parking_aisle,
Praça do Império,secondary,,41.1553117391061,-8.673191201181432,16.618000000000002,,,
Praça do Império,secondary,,41.15479632130172,-8.672744738709012,68.303,,,
Rua de Diu,secondary,,41.1547995942562,-8.673300426292803,41.486999999999995,,,
Rua de Diogo Botelho,secondary,,41.15465315641281,-8.672211146240617,45.766,,,
Praça do Império,secondary,,41.15486824176563,-8.672295343656698,15.977,,,
Rua de Diu,secondary,,41.15363425,-8.67531915,76.667,,,
Rua de Cândida Sá de Albergaria,residential,,41.15301785,-8.675271850000001,113.525,,,
Rua de Diu,secondary,,41.1532205,-8.6760284,73.572,,,
Praça de Liège,residential,,41.1549103,-8.67741715,21.55,,,
Praça de Liége,residential,,41.1548000784425,-8.677096856752573,48.787,,,
Rua do Passeio Alegre,primary,,41.14812785,-8.66895965,133.497,,,
Rua do Passeio Alegre,primary,,41.14783215,-8.6681987,9.907,,,
,footway,,41.1478736,-8.66823585,5.033,,,
,footway,,41.1478155,-8.66827695,9.608,,,
,primary_link,,41.149789704402615,-8.676033181129679,14.202,,,
Rua do Coronel Raul Peres,primary,30,41.150305479104944,-8.67653781201274,133.576,,,
Esplanada do Castelo,primary,30,41.14966518760736,-8.675951356353906,38.593999999999994,,,
Avenida Dom Carlos I,residential,,41.14945851329087,-8.675920638582861,79.73,,,
Esplanada do Castelo,unclassified,,41.14868342641411,-8.673111680184581,36.556,,,
Rua de Dom Luis Filipe,unclassified,,41.148213414241916,-8.672982719639878,124.27800000000002,,,
Esplanada do Castelo,unclassified,,41.148851610698166,-8.672888121354918,20.31,,,
Avenida Dom Carlos I,unclassified,,41.14765846751024,-8.67304113422879,14.621,,,
Rua de Dom Luis Filipe,unclassified,,41.148213414241916,-8.672982719639878,124.27799999999999,,,
,service,,41.17399665000001,-8.6723593,14.672,,parking_aisle,
Estrada Interior da Circunvalação,primary,50,41.174158250000005,-8.6722287,40.891,,,
Estrada Interior da Circunvalação,primary,50,41.17653955,-8.66861535,5.452,,,
,footway,,41.17038925,-8.6761975,60.087,,,
,footway,,41.17022055362365,-8.674957957284178,183.11,,,
,footway,,41.17084720520354,-8.67547873957922,97.325,,,
,footway,,41.17152543082759,-8.67609335814745,238.15699999999995,,,
,footway,,41.17086549143825,-8.674268179155874,247.47,,,
,footway,,41.17084720520354,-8.67547873957922,97.325,,,
,footway,,41.16922138506596,-8.674852119512577,194.98399999999995,,,
,footway,,41.169693077554804,-8.673670043980238,41.805,,,
,footway,,41.16972225521349,-8.673992318545316,30.087,,,
,footway,,41.1682846,-8.67808425,11.528,,,
,footway,,41.167893761497346,-8.678426045619464,137.77,yes,,
,footway,,41.1683138535605,-8.677546153523899,82.03300000000002,,,
