Type,Location,Neighborhood,Residential,Shop,Work,Latitude,Longitude
restaurant,Avenida da Boavista,"Porto, Portugal",,,,41.1587881,-8.6334779
cafe,Rua de Damião de Góis,"Porto, Portugal",,,,41.1619734,-8.6141869
cafe,Rua de Alves Redol,"Porto, Portugal",,,,41.1606043,-8.6158714
restaurant,Rua de São Tomé,"Porto, Portugal",,,,41.181443,-8.609582
restaurant,Rua Arquitecto Nicolau Nasoni,"Porto, Portugal",,,,41.1455758,-8.6134407
restaurant,Rua Miguel Bombarda,"Porto, Portugal",,,,41.1492774,-8.6240241
restaurant,Rua da Boavista,"Porto, Portugal",,,,41.1565094,-8.6211287
restaurant,,"Porto, Portugal",,,,41.1400251,-8.6155914
restaurant,Passeio das Virtudes,"Porto, Portugal",,,,41.1438807,-8.6182277
restaurant,Rua da Madeira,"Porto, Portugal",,,,41.1459471,-8.6100446
restaurant,,"Porto, Portugal",,,,41.1477795,-8.6133177
cafe,,"Porto, Portugal",,,,41.1567048,-8.6814028
restaurant,Rua de Costa Cabral,"Porto, Portugal",,,,41.1763108,-8.5857108
restaurant,Rua das Flores,"Porto, Portugal",,,,41.1435296,-8.6142499
restaurant,Rua de São Francisco,"Porto, Portugal",,,,41.1409211,-8.6165485
restaurant,Praça de Carlos Alberto,"Porto, Portugal",,,,41.1484359,-8.6154991
pharmacy,Rua da Conceição,"Porto, Portugal",,,,41.1500253,-8.6131721
cafe,Largo dos Lóios,"Porto, Portugal",,,,41.1456478,-8.6121459
restaurant,Rua dos Caldeireiros,"Porto, Portugal",,,,41.1453439,-8.6126587
restaurant,Rua de Ramalho Ortigão,"Porto, Portugal",,,,41.1491669,-8.6117779
restaurant,Rua de Costa Cabral,"Porto, Portugal",,,,41.1764432,-8.5856618
bank,Rua de Santa Catarina,"Porto, Portugal",,,,41.1465163,-8.6068996
atm,,"Porto, Portugal",,,,41.148017,-8.6084085
restaurant,Avenida Rodrigues de Freitas,"Porto, Portugal",,,,41.145959,-8.596312
cafe,Rua Dom João IV,"Porto, Portugal",,,,41.1490932,-8.6022135
bank,,"Porto, Portugal",,,,41.147993,-8.6081029
cafe,Rua Formosa,"Porto, Portugal",,,,41.1486264,-8.6076272
cafe,,"Porto, Portugal",,,,41.1484005,-8.6069161
restaurant,,"Porto, Portugal",,,,41.1468232,-8.6048827
cafe,,"Porto, Portugal",,,,41.1482283,-8.6077565
restaurant,,"Porto, Portugal",,,,41.1478143,-8.6075408
cafe,,"Porto, Portugal",,,,41.1485985,-8.6099138
restaurant,,"Porto, Portugal",,,,41.1483682,-8.6096885
bank,,"Porto, Portugal",,,,41.1481545,-8.6105839
cafe,,"Porto, Portugal",,,,41.1482673,-8.6095678
cafe,Avenida dos Aliados,"Porto, Portugal",,,,41.1482626,-8.610588
bank,,"Porto, Portugal",,,,41.1480304,-8.608796
clinic,,"Porto, Portugal",,,,41.1489675,-8.6097525
restaurant,Rua do Bonjardim,"Porto, Portugal",,,,41.1501137,-8.6092902
cafe,Rua de Fernandes Tomás,"Porto, Portugal",,,,41.1502873,-8.6084078
cafe,,"Porto, Portugal",,,,41.1490554,-8.6085607
dentist,,"Porto, Portugal",,,,41.1507338,-8.6079891
clinic,,"Porto, Portugal",,,,41.1521717,-8.6057873
clinic,Rua Sá da Bandeira,"Porto, Portugal",,,,41.1529592,-8.6052696
doctors,,"Porto, Portugal",,,,41.1510528,-8.606203
cafe,,"Porto, Portugal",,,,41.1505725,-8.6055941
restaurant,,"Porto, Portugal",,,,41.1501419,-8.6058329
restaurant,Rua de Fernandes Tomás,"Porto, Portugal",,,,41.1499541,-8.6062108
clinic,,"Porto, Portugal",,,,41.1501521,-8.6068546
cafe,,"Porto, Portugal",,,,41.1507053,-8.6067073
cafe,,"Porto, Portugal",,,,41.1508323,-8.6053027
cafe,Rua de Santa Catarina,"Porto, Portugal",,,,41.1508751,-8.6052714
restaurant,,"Porto, Portugal",,,,41.1481398,-8.6040681
cafe,,"Porto, Portugal",,,,41.147753,-8.6040394
cafe,,"Porto, Portugal",,,,41.1479743,-8.604755
cafe,,"Porto, Portugal",,,,41.1478814,-8.6028855
cafe,,"Porto, Portugal",,,,41.1491639,-8.6034327
restaurant,Rua das Taipas,"Porto, Portugal",,,,41.1429264,-8.6175363
restaurant,,"Porto, Portugal",,,,41.1426292,-8.6170193
cafe,Passeio de São Lázaro,"Porto, Portugal",,,,41.1463928,-8.6022812
cafe,Passeio de São Lázaro,"Porto, Portugal",,,,41.1463464,-8.6024234
restaurant,,"Porto, Portugal",,,,41.1465857,-8.6033032
